index,Index,Label,unit,start,last,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU482---482---               ,PCU482---482---               ,"PPI industry sub-sector data for Rail transportation, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,101.7,101.3,102.6,104.5,106.6,108.8,113.4,125.2,135.9,140.9,157.3,148.5,156.2,169.8,177.4,183.1,186.5,179.5,175.5,181.8,192.1,197.9,197.9,207.511
PCU4821--4821--               ,PCU4821--4821--               ,"PPI industry group data for Rail transportation, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,101.7,101.3,102.6,104.5,106.6,108.8,113.4,125.2,135.9,140.9,157.3,148.5,156.2,169.8,177.4,183.1,186.5,179.5,175.5,181.8,192.1,197.9,197.9,207.511
PCU48211-48211-               ,PCU48211-48211-               ,"PPI industry data for Rail transportation, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,101.7,101.3,102.6,104.5,106.6,108.8,113.4,125.2,135.9,140.9,157.3,148.5,156.2,169.8,177.4,183.1,186.5,179.5,175.5,181.8,192.1,197.9,197.9,207.511
PCU482111482111               ,PCU482111482111               ,"PPI industry data for Line-haul railroads, not seasonally adjusted",Index base: 1984.12 = 100,1969-M01,2022-M04,26.7,29.1,32.7,33.7,34.5,40.0,45.3,49.8,53.2,56.9,65.0,75.9,87.4,93.7,95.0,99.3,99.9,100.7,100.1,104.8,106.4,107.5,109.3,109.9,110.9,111.8,111.7,111.5,112.1,113.4,113.0,114.5,116.6,118.9,121.4,126.5,139.6,151.6,157.2,175.5,165.6,174.3,189.4,197.9,204.2,208.0,200.2,195.7,202.8,214.2,220.7,220.7,231.465
PCU4821114821114              ,PCU4821114821114              ,"PPI industry data for Line-haul railroads-Freight rail transportation, not seasonally adjusted",Index base: 2015.05 = 100,2015-M05,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,101.0,106.8,110.0,110.0,115.43
PCU482111482111411            ,PCU482111482111411            ,"PPI industry data for Line-haul railroads-Carload freight rail transportation, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,101.4,100.5,101.9,104.1,106.3,109.0,114.7,128.1,139.2,144.0,160.8,152.7,160.6,174.5,182.9,189.0,192.6,186.3,182.2,188.3,195.8,201.4,203.6,210.833
PCU482111482111412            ,PCU482111482111412            ,"PPI industry data for Line-haul railroads-Intermodal freight rail transportation, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,102.2,102.9,102.9,103.2,103.8,106.4,107.6,113.2,122.6,128.4,145.8,129.2,137.8,151.5,155.9,159.6,162.2,150.0,145.3,152.8,172.9,179.1,171.1,189.645
PCU4821114821115              ,PCU4821114821115              ,"PPI industry data for Line-haul railroads-Passenger rail transportation, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,105.0,111.1,116.3,119.1,124.6,115.3,111.1,115.1,123.4,129.2,134.1,136.0,137.1,143.0,148.6,153.1,154.3,156.8,159.4,163.0,166.3,170.6,173.8,177.176
PCU482111482111506            ,PCU482111482111506            ,"PPI industry data for Line-haul railroads-Coach service class, not seasonally adjusted",Index base: 2005.06 = 100,2005-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,115.0,119.7,121.2,123.0,127.8,132.7,136.7,137.5,139.8,142.0,145.3,148.0,152.0,155.2,160.208
PCU482111482111507            ,PCU482111482111507            ,"PPI industry data for Line-haul railroads-All other service classes, not seasonally adjusted",Index base: 2005.06 = 100,2005-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5,112.0,115.7,117.8,117.4,123.3,128.5,133.2,135.9,138.0,140.3,143.9,147.7,151.4,153.7,153.798
PCU482111482111P              ,PCU482111482111P              ,"PPI industry data for Line-haul railroads-Primary services, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1,113.4,113.0,114.5,116.6,118.9,121.4,126.5,139.6,151.6,157.2,175.5,165.6,174.3,189.4,197.9,204.2,208.0,200.2,195.7,202.8,214.2,220.7,220.7,231.465
