index,Index,Label,unit,start,last,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU4861--4861--               ,PCU4861--4861--               ,"PPI industry group data for Pipeline transportation of crude oil, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,103.9,113.3,122.0,125.4,137.1,141.0,183.4,184.7,195.5,211.1,222.6,233.0,237.0,232.8,231.7,238.5,247.8,257.672
PCU48611-48611-               ,PCU48611-48611-               ,"PPI industry data for Pipeline transportation of crude oil, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,103.9,113.3,122.0,125.4,137.1,141.0,183.4,184.7,195.5,211.1,222.6,233.0,237.0,232.8,231.7,238.5,247.8,257.672
PCU486110486110               ,PCU486110486110               ,"PPI industry data for Pipeline transportation of crude oil, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M01,96.9,92.7,92.3,94.2,94.4,94.8,95.0,102.5,113.4,104.7,96.0,96.8,95.5,101.0,111.1,112.3,111.1,115.2,125.5,135.3,138.9,152.0,156.3,203.3,204.7,216.7,234.0,246.7,258.2,262.7,258.0,256.7,264.3,274.6,285.565
PCU4861104861103              ,PCU4861104861103              ,"PPI industry data for Pipeline transportation of crude oil, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M01,94.3,86.5,85.9,88.7,88.2,88.2,88.2,99.4,109.8,100.4,91.0,91.8,90.4,96.0,106.6,107.6,106.0,110.2,120.8,130.7,134.3,147.0,151.0,197.5,198.8,210.4,227.2,239.5,250.7,255.1,250.5,249.3,256.8,266.9,277.81
PCU486110486110311            ,PCU486110486110311            ,"PPI industry data for Pipeline transportation of crude oil-Trans-Alaskan Pipeline System transportation, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M01,94.3,86.5,85.9,88.7,88.2,88.2,88.2,99.0,110.1,94.4,78.8,79.8,76.2,85.8,102.2,100.4,95.3,88.6,106.5,114.7,128.5,130.8,111.3,111.2,124.5,140.4,158.3,162.3,149.8,153.0,149.1,132.0,127.4,143.8,139.955
PCU486110486110312            ,PCU486110486110312            ,"PPI industry data for Pipeline transportation of crude oil-Pipeline transportation of crude petroleum, except on the Trans-Alaskan Pipeline System, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M01,100.0,100.0,100.0,100.5,100.9,102.1,102.4,105.2,115.2,114.8,114.0,114.7,116.4,116.4,118.8,122.7,123.4,134.5,141.9,153.7,152.7,172.2,188.5,264.0,259.4,270.9,290.6,307.7,328.0,333.5,327.9,329.9,341.5,352.5,369.01
PCU486110486110P              ,PCU486110486110P              ,"PPI industry data for Pipeline transportation of crude oil-Primary services, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M01,,,,,,,,,113.1,103.5,93.7,94.7,93.2,99.0,109.8,110.9,109.3,113.5,124.5,134.7,138.4,151.5,155.6,203.5,204.9,216.8,234.1,246.8,258.4,262.9,258.1,257.0,264.6,275.0,286.312
PCU4869--4869--               ,PCU4869--4869--               ,"PPI industry group data for Other pipeline transportation, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,101.4,105.2,108.2,115.0,121.6,128.7,133.8,137.3,144.7,150.7,160.4,168.0,171.8,173.2,176.2,182.0,187.8,190.663
PCU48691-48691-               ,PCU48691-48691-               ,"PPI industry data for Pipeline transportation of refined petroleum products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,,,,,,,101.4,105.2,108.2,115.0,121.6,128.7,133.8,137.3,144.7,150.7,160.4,168.0,171.8,173.2,176.2,182.0,187.8,190.663
PCU486910486910               ,PCU486910486910               ,"PPI industry data for Refined petroleum product pipeline transport., not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M01,101.0,100.9,100.5,100.8,101.1,101.2,101.3,103.4,104.6,104.3,105.3,104.8,104.9,105.3,108.5,111.0,112.7,116.0,120.3,123.8,131.7,139.2,147.3,153.1,157.1,165.6,172.5,183.6,192.2,196.6,198.2,201.6,208.3,215.0,218.196
PCU4869104869101              ,PCU4869104869101              ,"PPI industry data for Refined petroleum product pipeline transport.-Pipeline transportation of refined petroleum products, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M01,,,,,,,,,106.2,105.9,106.9,106.4,106.3,106.8,110.2,112.8,114.5,117.8,122.3,125.8,133.8,141.4,149.6,155.5,159.6,168.2,175.2,186.5,195.3,199.8,201.4,204.9,211.6,218.4,221.676
PCU486910486910P              ,PCU486910486910P              ,"PPI industry data for Refined petroleum product pipeline transport.-Primary services, not seasonally adjusted",Index base: 1986.06 = 100,1986-M06,2022-M01,,,,,,,,,104.7,104.4,105.4,104.9,104.8,105.3,108.6,111.2,112.9,116.2,120.5,124.0,131.9,139.4,147.5,153.3,157.4,165.8,172.7,183.9,192.6,196.9,198.5,202.0,208.6,215.3,218.556
